n,m,p,a1,a2,a3,a4
400,90,6,496,497,596,576
700,40,9,749,750,849,829
500,30,3,533,534,633,613
700,20,9,729,730,829,809
500,20,7,527,528,627,607
400,50,5,455,456,555,535
300,60,6,366,367,466,446
800,90,6,896,897,996,976
100,20,4,124,125,224,204
300,70,1,371,372,471,451
700,80,9,789,790,889,869
400,20,9,429,430,529,509
500,50,7,557,558,657,637
200,30,3,233,234,333,313
500,40,3,543,544,643,623
900,80,8,988,989,1088,1068
200,20,4,224,225,324,304
600,10,9,619,620,719,699
500,90,5,595,596,695,675
200,10,9,219,220,319,299
600,70,3,673,674,773,753
900,30,3,933,934,1033,1013
400,50,2,452,453,552,532
900,30,1,931,932,1031,1011
700,60,6,766,767,866,846
300,60,4,364,365,464,444
700,20,4,724,725,824,804
800,70,4,874,875,974,954
800,40,4,844,845,944,924
500,80,3,583,584,683,663
300,70,2,372,373,472,452
700,90,1,791,792,891,871
100,40,6,146,147,246,226
600,70,4,674,675,774,754
400,40,1,441,442,541,521
500,60,9,569,570,669,649
800,10,5,815,816,915,895
800,90,3,893,894,993,973
100,10,2,112,113,212,192
300,20,1,321,322,421,401
500,20,9,529,530,629,609
100,50,8,158,159,258,238
700,50,7,757,758,857,837
500,70,4,574,575,674,654
400,40,4,444,445,544,524
400,60,7,467,468,567,547
100,60,4,164,165,264,244
200,60,7,267,268,367,347
600,30,4,634,635,734,714
200,10,8,218,219,318,298
600,30,4,634,635,734,714
700,80,3,783,784,883,863
500,80,1,581,582,681,661
300,80,9,389,390,489,469
700,60,9,769,770,869,849
300,30,8,338,339,438,418
500,30,6,536,537,636,616
400,80,6,486,487,586,566
400,80,6,486,487,586,566
500,10,6,516,517,616,596
300,80,1,381,382,481,461
700,10,6,716,717,816,796
400,50,2,452,453,552,532
600,20,2,622,623,722,702
900,60,8,968,969,1068,1048
600,80,3,683,684,783,763
800,10,7,817,818,917,897
300,70,4,374,375,474,454
200,20,3,223,224,323,303
600,40,2,642,643,742,722
600,50,3,653,654,753,733
600,70,4,674,675,774,754
900,70,1,971,972,1071,1051
300,90,3,393,394,493,473
600,70,5,675,676,775,755
500,50,4,554,555,654,634
500,80,4,584,585,684,664
600,50,4,654,655,754,734
700,70,3,773,774,873,853
800,20,6,826,827,926,906
700,80,9,789,790,889,869
800,30,4,834,835,934,914
200,20,7,227,228,327,307
900,70,3,973,974,1073,1053
600,40,8,648,649,748,728
900,30,1,931,932,1031,1011
200,10,2,212,213,312,292
500,20,9,529,530,629,609
400,80,8,488,489,588,568
500,60,8,568,569,668,648
800,50,4,854,855,954,934
800,50,7,857,858,957,937
300,10,4,314,315,414,394
900,60,7,967,968,1067,1047
700,20,5,725,726,825,805
300,30,3,333,334,433,413
500,10,8,518,519,618,598
300,80,2,382,383,482,462
400,10,5,415,416,515,495
300,40,6,346,347,446,426
500,70,8,578,579,678,658
200,20,4,224,225,324,304
500,80,5,585,586,685,665
700,80,5,785,786,885,865
600,20,8,628,629,728,708
700,90,2,792,793,892,872
600,20,9,629,630,729,709
500,90,5,595,596,695,675
300,90,9,399,400,499,479
900,40,6,946,947,1046,1026
700,20,9,729,730,829,809
900,10,5,915,916,1015,995
700,60,2,762,763,862,842
400,50,7,457,458,557,537
700,60,1,761,762,861,841
100,20,6,126,127,226,206
300,70,6,376,377,476,456
700,60,1,761,762,861,841
100,40,8,148,149,248,228
800,40,8,848,849,948,928
200,70,6,276,277,376,356
200,60,5,265,266,365,345
400,80,9,489,490,589,569
100,80,6,186,187,286,266
100,30,5,135,136,235,215
200,30,2,232,233,332,312
900,40,1,941,942,1041,1021
800,50,4,854,855,954,934
400,90,5,495,496,595,575
100,50,7,157,158,257,237
200,30,9,239,240,339,319
400,60,3,463,464,563,543
400,90,3,493,494,593,573
200,10,1,211,212,311,291
400,10,8,418,419,518,498
100,50,1,151,152,251,231
700,80,8,788,789,888,868
300,20,9,329,330,429,409
700,30,1,731,732,831,811
200,40,7,247,248,347,327
200,70,3,273,274,373,353
100,60,5,165,166,265,245
600,60,1,661,662,761,741
600,80,8,688,689,788,768
800,20,5,825,826,925,905
900,20,3,923,924,1023,1003
500,40,6,546,547,646,626
500,60,9,569,570,669,649
500,20,9,529,530,629,609
100,30,9,139,140,239,219
500,50,3,553,554,653,633
700,90,1,791,792,891,871
400,70,7,477,478,577,557
200,60,7,267,268,367,347
800,20,8,828,829,928,908
700,60,1,761,762,861,841
900,50,6,956,957,1056,1036
300,30,5,335,336,435,415
400,70,9,479,480,579,559
200,50,5,255,256,355,335
900,50,4,954,955,1054,1034
100,30,6,136,137,236,216
600,30,3,633,634,733,713
900,60,1,961,962,1061,1041
200,50,2,252,253,352,332
500,80,3,583,584,683,663
700,20,2,722,723,822,802
300,40,9,349,350,449,429
200,30,1,231,232,331,311
300,10,9,319,320,419,399
900,70,2,972,973,1072,1052
800,20,5,825,826,925,905
600,80,7,687,688,787,767
600,10,1,611,612,711,691
500,30,1,531,532,631,611
600,70,9,679,680,779,759
400,70,9,479,480,579,559
100,20,6,126,127,226,206
100,30,5,135,136,235,215
900,10,7,917,918,1017,997
600,40,5,645,646,745,725
900,20,1,921,922,1021,1001
300,90,6,396,397,496,476
600,20,1,621,622,721,701
