n,m,p,a1,a2,a3,a4
9,6,54,6,7,5,8
4,7,28,7,32,24,35
8,8,64,8,72,56,72
4,5,20,5,24,16,25
5,6,30,6,35,25,36
3,4,12,4,15,9,16
9,5,45,5,54,36,50
3,4,12,4,15,9,16
5,2,10,2,15,5,12
9,5,45,5,54,36,50
5,3,15,3,20,10,18
8,9,72,9,80,64,81
8,5,40,5,48,32,45
8,5,40,5,48,32,45
1,4,4,4,5,3,8
4,2,8,2,12,4,10
2,9,18,9,20,16,27
9,9,81,9,90,72,90
1,6,6,6,7,5,12
1,9,9,9,10,8,18
1,1,1,1,2,0,2
2,6,12,6,14,10,18
6,3,18,3,24,12,21
7,4,28,4,35,21,32
4,2,8,2,12,4,10
9,7,63,7,72,54,70
2,2,4,2,6,2,6
5,5,25,5,30,20,30
4,1,4,1,8,0,5
3,8,24,8,27,21,32
7,7,49,7,56,42,56
7,5,35,5,42,28,40
9,7,63,7,72,54,70
7,6,42,6,49,35,48
9,2,18,2,27,9,20
1,2,2,2,3,1,4
2,9,18,9,20,16,27
7,1,7,1,14,0,8
9,5,45,5,54,36,50
3,5,15,5,18,12,20
7,1,7,1,14,0,8
4,2,8,2,12,4,10
4,6,24,6,28,20,30
3,8,24,8,27,21,32
5,5,25,5,30,20,30
6,8,48,8,54,42,56
2,4,8,4,10,6,12
1,7,7,7,8,6,14
3,7,21,7,24,18,28
4,7,28,7,32,24,35
5,6,30,6,35,25,36
2,3,6,3,8,4,9
2,3,6,3,8,4,9
3,3,9,3,12,6,12
1,7,7,7,8,6,14
9,6,54,6,63,45,60
8,1,8,1,16,0,9
6,7,42,7,48,36,49
3,7,21,7,24,18,28
3,7,21,7,24,18,28
6,2,12,2,18,6,14
5,3,15,3,20,10,18
2,7,14,7,16,12,21
6,6,36,6,42,30,42
6,1,6,1,12,0,7
3,6,18,6,21,15,24
5,5,25,5,30,20,30
9,3,27,3,36,18,30
3,1,3,1,6,0,4
1,8,8,8,9,7,16
2,4,8,4,10,6,12
9,7,63,7,72,54,70
3,2,6,2,9,3,8
6,7,42,7,48,36,49
3,6,18,6,21,15,24
5,5,25,5,30,20,30
6,5,30,5,36,24,35
9,6,54,6,63,45,60
6,1,6,1,12,0,7
7,9,63,9,70,56,72
8,6,48,6,56,40,54
3,9,27,9,30,24,36
6,2,12,2,18,6,14
7,9,63,9,70,56,72
3,6,18,6,21,15,24
5,8,40,8,45,35,48
3,8,24,8,27,21,32
3,7,21,7,24,18,28
5,6,30,6,35,25,36
8,8,64,8,72,56,72
3,2,6,2,9,3,8
3,8,24,8,27,21,32
8,4,32,4,40,24,36
1,8,8,8,9,7,16
1,3,3,3,4,2,6
9,5,45,5,54,36,50
9,6,54,6,63,45,60
1,3,3,3,4,2,6
3,1,3,1,6,0,4
1,9,9,9,10,8,18
4,7,28,7,32,24,35
1,8,8,8,9,7,16
5,5,25,5,30,20,30
3,7,21,7,24,18,28
7,3,21,3,28,14,24
1,5,5,5,6,4,10
2,2,4,2,6,2,6
8,6,48,6,56,40,54
2,2,4,2,6,2,6
8,2,16,2,24,8,18
2,2,4,2,6,2,6
4,6,24,6,28,20,30
3,8,24,8,27,21,32
3,4,12,4,15,9,16
6,8,48,8,54,42,56
5,7,35,7,40,30,42
5,3,15,3,20,10,18
1,8,8,8,9,7,16
3,5,15,5,18,12,20
1,3,3,3,4,2,6
9,9,81,9,90,72,90
3,5,15,5,18,12,20
8,7,56,7,64,48,63
5,7,35,7,40,30,42
6,8,48,8,54,42,56
1,4,4,4,5,3,8
9,6,54,6,63,45,60
1,8,8,8,9,7,16
