n,m,a1,a2,a3,a4
5,6,30,31,32,29
7,3,21,22,23,20
1,7,7,8,9,6
3,4,12,13,14,11
6,3,18,19,20,17
5,8,40,41,42,39
3,7,21,22,23,20
5,2,10,11,12,9
5,6,30,31,32,29
4,9,36,37,38,35
1,5,5,6,7,4
9,2,18,19,20,17
5,6,30,31,32,29
3,9,27,28,29,26
2,2,4,5,6,3
1,2,2,3,4,1
6,3,18,19,20,17
8,9,72,73,74,71
1,9,9,10,11,8
8,7,56,57,58,55
9,8,72,73,74,71
8,7,56,57,58,55
8,1,8,9,10,7
9,1,9,10,11,8
1,5,5,6,7,4
7,2,14,15,16,13
4,9,36,37,38,35
8,2,16,17,18,15
7,7,49,50,51,48
5,6,30,31,32,29
2,8,16,17,18,15
8,8,64,65,66,63
5,5,25,26,27,24
7,3,21,22,23,20
1,7,7,8,9,6
1,1,1,2,3,0
5,8,40,41,42,39
1,1,1,2,3,0
1,9,9,10,11,8
5,4,20,21,22,19
6,8,48,49,50,47
2,2,4,5,6,3
8,6,48,49,50,47
5,6,30,31,32,29
6,8,48,49,50,47
9,8,72,73,74,71
5,3,15,16,17,14
6,9,54,55,56,53
2,7,14,15,16,13
3,9,27,28,29,26
7,7,49,50,51,48
8,8,64,65,66,63
5,2,10,11,12,9
8,9,72,73,74,71
1,1,1,2,3,0
6,5,30,31,32,29
3,6,18,19,20,17
5,9,45,46,47,44
2,8,16,17,18,15
2,7,14,15,16,13
4,5,20,21,22,19
8,8,64,65,66,63
6,7,42,43,44,41
3,1,3,4,5,2
2,9,18,19,20,17
1,7,7,8,9,6
3,1,3,4,5,2
4,7,28,29,30,27
2,3,6,7,8,5
9,1,9,10,11,8
3,6,18,19,20,17
1,3,3,4,5,2
6,4,24,25,26,23
7,4,28,29,30,27
4,3,12,13,14,11
7,9,63,64,65,62
6,2,12,13,14,11
3,3,9,10,11,8
3,4,12,13,14,11
7,6,42,43,44,41
4,8,32,33,34,31
8,5,40,41,42,39
5,9,45,46,47,44
3,5,15,16,17,14
8,4,32,33,34,31
1,2,2,3,4,1
3,4,12,13,14,11
5,3,15,16,17,14
9,6,54,55,56,53
8,3,24,25,26,23
6,6,36,37,38,35
9,2,18,19,20,17
7,4,28,29,30,27
3,8,24,25,26,23
6,8,48,49,50,47
4,9,36,37,38,35
1,9,9,10,11,8
6,5,30,31,32,29
2,8,16,17,18,15
4,6,24,25,26,23
7,6,42,43,44,41
3,4,12,13,14,11
4,9,36,37,38,35
7,9,63,64,65,62
1,7,7,8,9,6
9,4,36,37,38,35
8,5,40,41,42,39
3,8,24,25,26,23
2,6,12,13,14,11
9,1,9,10,11,8
6,1,6,7,8,5
9,3,27,28,29,26
9,5,45,46,47,44
3,7,21,22,23,20
2,5,10,11,12,9
3,3,9,10,11,8
8,9,72,73,74,71
7,1,7,8,9,6
7,5,35,36,37,34
1,4,4,5,6,3
6,4,24,25,26,23
2,3,6,7,8,5
1,3,3,4,5,2
5,1,5,6,7,4
7,6,42,43,44,41
3,6,18,19,20,17
9,1,9,10,11,8
2,4,8,9,10,7
3,5,15,16,17,14
1,4,4,5,6,3
1,1,1,2,3,0
4,7,28,29,30,27
2,9,18,19,20,17
6,5,30,31,32,29
2,5,10,11,12,9
8,1,8,9,10,7
6,9,54,55,56,53
8,9,72,73,74,71
4,7,28,29,30,27
5,6,30,31,32,29
5,7,35,36,37,34
3,5,15,16,17,14
5,4,20,21,22,19
7,2,14,15,16,13
5,6,30,31,32,29
2,2,4,5,6,3
