n,p,a1,a2,a3,a4
56,44,2464,2508,2420,100
30,67,2010,2077,1943,97
71,38,2698,2736,2660,109
60,67,4020,4087,3953,127
55,36,1980,2016,1944,91
88,43,3784,3827,3741,131
61,19,1159,1178,1140,80
28,97,2716,2813,2619,125
91,72,6552,6624,6480,163
91,97,8827,8924,8730,188
46,37,1702,1739,1665,83
18,41,738,779,697,59
98,62,6076,6138,6014,160
33,15,495,510,480,48
74,87,6438,6525,6351,161
18,66,1188,1254,1122,84
15,90,1350,1440,1260,105
99,16,1584,1600,1568,115
62,12,744,756,732,74
25,27,675,702,648,52
19,24,456,480,432,43
73,89,6497,6586,6408,162
97,99,9603,9702,9504,196
82,70,5740,5810,5670,152
26,92,2392,2484,2300,118
84,32,2688,2720,2656,116
73,92,6716,6808,6624,165
84,76,6384,6460,6308,160
78,56,4368,4424,4312,134
29,70,2030,2100,1960,99
85,26,2210,2236,2184,111
70,34,2380,2414,2346,104
58,50,2900,2950,2850,108
72,93,6696,6789,6603,165
65,36,2340,2376,2304,101
30,79,2370,2449,2291,109
80,60,4800,4860,4740,140
34,61,2074,2135,2013,95
63,68,4284,4352,4216,131
69,59,4071,4130,4012,128
28,38,1064,1102,1026,66
47,31,1457,1488,1426,78
51,20,1020,1040,1000,71
39,64,2496,2560,2432,103
72,70,5040,5110,4970,142
49,75,3675,3750,3600,124
25,84,2100,2184,2016,109
69,88,6072,6160,5984,157
96,19,1824,1843,1805,115
76,83,6308,6391,6225,159
64,95,6080,6175,5985,159
72,46,3312,3358,3266,118
23,60,1380,1440,1320,83
51,53,2703,2756,2650,104
59,18,1062,1080,1044,77
87,23,2001,2024,1978,110
33,36,1188,1224,1152,69
19,55,1045,1100,990,74
70,66,4620,4686,4554,136
60,50,3000,3050,2950,110
48,25,1200,1225,1175,73
53,91,4823,4914,4732,144
59,12,708,720,696,71
87,16,1392,1408,1376,103
98,88,8624,8712,8536,186
16,41,656,697,615,57
30,78,2340,2418,2262,108
50,61,3050,3111,2989,111
25,36,900,936,864,61
18,78,1404,1482,1326,96
69,24,1656,1680,1632,93
58,86,4988,5074,4902,144
86,68,5848,5916,5780,154
61,20,1220,1240,1200,81
44,75,3300,3375,3225,119
58,51,2958,3009,2907,109
66,73,4818,4891,4745,139
65,77,5005,5082,4928,142
57,16,912,928,896,73
97,81,7857,7938,7776,178
13,36,468,504,432,49
74,54,3996,4050,3942,128
22,86,1892,1978,1806,108
37,71,2627,2698,2556,108
32,11,352,363,341,43
22,40,880,920,840,62
66,57,3762,3819,3705,123
20,80,1600,1680,1520,100
37,97,3589,3686,3492,134
22,48,1056,1104,1008,70
21,15,315,330,300,36
46,53,2438,2491,2385,99
93,45,4185,4230,4140,138
60,49,2940,2989,2891,109
18,43,774,817,731,61
66,23,1518,1541,1495,89
99,23,2277,2300,2254,122
98,22,2156,2178,2134,120
92,26,2392,2418,2366,118
66,93,6138,6231,6045,159
94,67,6298,6365,6231,161
35,85,2975,3060,2890,120
71,28,1988,2016,1960,99
60,65,3900,3965,3835,125
51,86,4386,4472,4300,137
75,38,2850,2888,2812,113
38,57,2166,2223,2109,95
24,65,1560,1625,1495,89
65,29,1885,1914,1856,94
59,65,3835,3900,3770,124
78,80,6240,6320,6160,158
82,47,3854,3901,3807,129
16,43,688,731,645,59
96,94,9024,9118,8930,190
59,45,2655,2700,2610,104
25,37,925,962,888,62
73,54,3942,3996,3888,127
18,45,810,855,765,63
37,68,2516,2584,2448,105
97,67,6499,6566,6432,164
80,97,7760,7857,7663,177
65,97,6305,6402,6208,162
26,38,988,1026,950,64
83,48,3984,4032,3936,131
26,75,1950,2025,1875,101
57,72,4104,4176,4032,129
63,35,2205,2240,2170,98
37,32,1184,1216,1152,69
32,32,1024,1056,992,64
75,96,7200,7296,7104,171
72,87,6264,6351,6177,159
14,80,1120,1200,1040,94
93,65,6045,6110,5980,158
63,23,1449,1472,1426,86
43,74,3182,3256,3108,117
77,17,1309,1326,1292,94
73,76,5548,5624,5472,149
95,97,9215,9312,9118,192
23,70,1610,1680,1540,93
98,70,6860,6930,6790,168
94,78,7332,7410,7254,172
73,97,7081,7178,6984,170
50,88,4400,4488,4312,138
17,65,1105,1170,1040,82
69,28,1932,1960,1904,97
25,95,2375,2470,2280,120
39,88,3432,3520,3344,127
16,21,336,357,315,37
63,76,4788,4864,4712,139
56,28,1568,1596,1540,84
55,20,1100,1120,1080,75
90,65,5850,5915,5785,155
42,29,1218,1247,1189,71
84,81,6804,6885,6723,165
90,58,5220,5278,5162,148
71,61,4331,4392,4270,132
97,47,4559,4606,4512,144
60,61,3660,3721,3599,121
93,36,3348,3384,3312,129
31,60,1860,1920,1800,91
52,32,1664,1696,1632,84
74,60,4440,4500,4380,134
26,79,2054,2133,1975,105
22,92,2024,2116,1932,114
86,88,7568,7656,7480,174
64,26,1664,1690,1638,90
79,50,3950,4000,3900,129
57,45,2565,2610,2520,102
61,92,5612,5704,5520,153
12,67,804,871,737,79
36,79,2844,2923,2765,115
88,45,3960,4005,3915,133
57,30,1710,1740,1680,87
40,46,1840,1886,1794,86
93,69,6417,6486,6348,162
33,26,858,884,832,59
90,48,4320,4368,4272,138
42,76,3192,3268,3116,118
35,55,1925,1980,1870,90
33,17,561,578,544,50
37,14,518,532,504,51
43,78,3354,3432,3276,121
58,13,754,767,741,71
30,71,2130,2201,2059,101
87,25,2175,2200,2150,112
50,86,4300,4386,4214,136
19,30,570,600,540,49
58,82,4756,4838,4674,140
13,43,559,602,516,56
91,66,6006,6072,5940,157
30,52,1560,1612,1508,82
84,74,6216,6290,6142,158
56,31,1736,1767,1705,87
92,80,7360,7440,7280,172
81,53,4293,4346,4240,134
90,46,4140,4186,4094,136
71,90,6390,6480,6300,161
63,52,3276,3328,3224,115
63,94,5922,6016,5828,157
37,45,1665,1710,1620,82
22,76,1672,1748,1596,98
94,51,4794,4845,4743,145
21,59,1239,1298,1180,80
41,89,3649,3738,3560,130
35,50,1750,1800,1700,85
92,46,4232,4278,4186,138
61,23,1403,1426,1380,84
42,94,3948,4042,3854,136
43,99,4257,4356,4158,142
25,60,1500,1560,1440,85
72,88,6336,6424,6248,160
99,93,9207,9300,9114,192
97,88,8536,8624,8448,185
44,26,1144,1170,1118,70
28,77,2156,2233,2079,105
74,15,1110,1125,1095,89
26,78,2028,2106,1950,104
36,11,396,407,385,47
84,68,5712,5780,5644,152
22,61,1342,1403,1281,83
62,40,2480,2520,2440,102
58,86,4988,5074,4902,144
65,65,4225,4290,4160,130
76,28,2128,2156,2100,104
92,28,2576,2604,2548,120
91,16,1456,1472,1440,107
72,32,2304,2336,2272,104
94,36,3384,3420,3348,130
45,95,4275,4370,4180,140
89,93,8277,8370,8184,182
26,42,1092,1134,1050,68
34,27,918,945,891,61
29,69,2001,2070,1932,98
41,45,1845,1890,1800,86
35,14,490,504,476,49
47,33,1551,1584,1518,80
43,54,2322,2376,2268,97
69,85,5865,5950,5780,154
47,58,2726,2784,2668,105
73,79,5767,5846,5688,152
34,50,1700,1750,1650,84
22,61,1342,1403,1281,83
83,94,7802,7896,7708,177
86,74,6364,6438,6290,160
36,51,1836,1887,1785,87
83,79,6557,6636,6478,162
28,42,1176,1218,1134,70
84,74,6216,6290,6142,158
92,48,4416,4464,4368,140
16,39,624,663,585,55
