n,m,a1,a2,a3,a4
975,9,8775,9750,8784,984
412,4,1648,2060,1652,416
830,6,4980,5810,4986,836
415,5,2075,2490,2080,420
461,8,3688,4149,3696,469
563,9,5067,5630,5076,572
745,4,2980,3725,2984,749
170,6,1020,1190,1026,176
125,8,1000,1125,1008,133
451,6,2706,3157,2712,457
173,8,1384,1557,1392,181
512,3,1536,2048,1539,515
394,9,3546,3940,3555,403
201,7,1407,1608,1414,208
582,2,1164,1746,1166,584
268,6,1608,1876,1614,274
318,7,2226,2544,2233,325
555,4,2220,2775,2224,559
349,8,2792,3141,2800,357
565,2,1130,1695,1132,567
808,8,6464,7272,6472,816
632,7,4424,5056,4431,639
282,4,1128,1410,1132,286
258,3,774,1032,777,261
215,3,645,860,648,218
912,6,5472,6384,5478,918
385,4,1540,1925,1544,389
119,5,595,714,600,124
487,8,3896,4383,3904,495
198,7,1386,1584,1393,205
861,6,5166,6027,5172,867
512,8,4096,4608,4104,520
985,8,7880,8865,7888,993
312,8,2496,2808,2504,320
350,5,1750,2100,1755,355
988,7,6916,7904,6923,995
746,8,5968,6714,5976,754
337,4,1348,1685,1352,341
782,6,4692,5474,4698,788
141,7,987,1128,994,148
130,3,390,520,393,133
838,9,7542,8380,7551,847
177,5,885,1062,890,182
133,2,266,399,268,135
113,3,339,452,342,116
154,3,462,616,465,157
381,9,3429,3810,3438,390
407,5,2035,2442,2040,412
768,8,6144,6912,6152,776
489,2,978,1467,980,491
624,7,4368,4992,4375,631
450,4,1800,2250,1804,454
321,8,2568,2889,2576,329
630,2,1260,1890,1262,632
976,6,5856,6832,5862,982
441,4,1764,2205,1768,445
839,5,4195,5034,4200,844
184,4,736,920,740,188
679,6,4074,4753,4080,685
849,4,3396,4245,3400,853
172,6,1032,1204,1038,178
187,9,1683,1870,1692,196
388,9,3492,3880,3501,397
846,9,7614,8460,7623,855
261,5,1305,1566,1310,266
138,3,414,552,417,141
427,3,1281,1708,1284,430
701,4,2804,3505,2808,705
648,9,5832,6480,5841,657
800,4,3200,4000,3204,804
898,4,3592,4490,3596,902
641,7,4487,5128,4494,648
507,3,1521,2028,1524,510
908,4,3632,4540,3636,912
847,3,2541,3388,2544,850
569,4,2276,2845,2280,573
717,7,5019,5736,5026,724
136,4,544,680,548,140
500,9,4500,5000,4509,509
750,8,6000,6750,6008,758
230,8,1840,2070,1848,238
963,5,4815,5778,4820,968
998,3,2994,3992,2997,1001
626,6,3756,4382,3762,632
300,2,600,900,602,302
452,5,2260,2712,2265,457
