a1,a2,a3,a4
0,2,3,5
0,2,4,6
0,2,3,6
0,2,3,6
0,1,3,5
0,2,3,5
0,1,4,6
0,2,3,6
0,1,4,5
0,1,3,6
0,1,4,5
0,1,4,5
0,2,3,5
0,2,4,5
0,1,3,6
0,1,3,5
0,2,4,6
0,1,4,6
0,1,3,6
0,2,3,5
0,2,3,6
0,1,3,5
0,2,3,5
0,1,4,5
0,2,4,5
0,2,3,6
0,1,4,6
0,2,4,6
0,1,4,5
0,2,3,6
0,1,3,5
0,1,4,5
0,2,3,5
0,2,4,6
0,1,4,6
0,1,4,5
0,1,3,5
0,1,3,5
0,2,3,6
0,1,3,6
0,2,3,6
0,1,4,6
0,2,4,5
0,2,3,6
0,1,4,6
0,2,4,6
0,2,4,6
0,2,3,6
0,2,3,6
0,2,4,5
0,1,4,6
0,1,3,5
0,1,4,5
0,2,3,6
0,1,4,6
0,2,4,6
0,1,4,6
0,2,4,6
0,1,3,6
0,2,3,5
0,2,3,6
0,2,3,5
0,2,4,5
0,2,4,5
0,2,3,6
0,2,4,6
0,2,4,6
0,2,3,5
0,2,4,5
0,2,3,5
0,2,4,6
0,2,4,6
0,2,3,6
0,1,4,5
0,1,3,5
0,2,4,5
0,2,3,6
0,2,4,5
0,2,4,6
0,2,4,5
0,2,4,6
0,2,4,5
0,1,3,6
0,1,4,5
0,2,3,5
0,1,3,5
0,1,3,5
0,1,4,5
0,1,4,6
0,1,4,5
0,1,4,6
0,1,4,5
0,1,4,6
0,1,4,5
0,2,4,6
0,2,3,6
0,1,4,6
0,2,4,5
0,2,3,5
0,2,3,6
0,2,3,5
0,2,3,5
0,1,4,6
0,2,4,6
0,2,4,5
0,1,3,5
0,2,3,6
0,2,3,6
0,1,3,6
0,2,3,5
0,2,3,5
0,1,3,6
0,2,4,6
0,2,4,6
0,1,4,5
0,1,4,5
0,1,3,6
0,2,4,5
0,1,3,5
0,1,3,5
0,1,4,5
0,1,4,5
0,2,4,6
0,2,3,5
0,2,3,6
0,1,3,5
0,2,3,6
0,1,3,5
0,1,3,6
0,1,3,5
0,2,4,6
0,2,4,6
0,2,4,6
0,1,3,5
0,1,4,5
0,2,3,6
0,1,4,6
0,1,3,5
0,2,3,6
0,1,3,6
0,2,4,5
0,1,4,5
0,2,3,6
0,2,4,5
0,2,3,5
0,1,3,6
0,2,3,5
0,1,3,6
0,2,4,6
0,1,3,6
0,1,3,6
0,2,3,6
0,1,3,6
0,2,4,5
0,2,3,5
0,2,3,6
0,1,3,6
0,1,4,5
0,1,4,6
0,2,4,6
0,2,4,6
0,1,4,6
0,1,3,5
0,2,3,6
0,1,4,5
0,2,4,6
0,2,4,6
0,2,4,5
0,2,3,5
0,2,3,5
0,1,4,5
0,2,3,5
0,1,4,6
0,1,3,6
0,1,3,5
0,2,3,5
0,2,4,5
0,1,3,5
0,1,3,5
0,2,4,5
0,1,4,6
0,1,4,6
0,2,4,5
0,2,3,5
0,1,4,6
0,1,3,5
0,2,4,6
0,1,3,5
0,1,3,6
0,1,4,6
0,1,4,6
0,1,4,5
0,2,4,5
0,1,4,5
0,2,4,6
0,2,4,6
0,1,4,5
0,1,4,6
0,2,3,5
0,1,3,5
0,2,3,5
0,1,4,6
0,2,4,6
0,1,3,6
0,2,4,5
0,1,4,6
0,1,4,6
0,1,3,6
0,1,4,5
0,2,3,5
0,1,4,5
0,1,3,5
0,1,4,6
0,1,4,6
0,1,3,6
0,2,3,6
0,2,3,5
0,2,3,6
0,1,3,5
0,1,4,6
0,1,4,6
0,2,3,6
0,1,4,5
0,2,3,5
0,2,3,6
0,2,3,5
0,1,4,6
0,2,4,6
0,2,3,5
0,1,3,6
0,2,3,5
0,1,3,6
0,1,4,5
0,1,4,5
0,2,4,6
0,1,3,5
0,1,3,6
0,2,4,6
0,2,4,5
0,2,3,5
0,1,3,6
0,2,3,5
0,2,4,6
0,1,4,6
0,2,4,5
0,1,4,6
0,1,4,5
0,1,4,6
0,2,4,6
0,1,4,5
0,2,4,5
0,1,4,5
0,1,3,5
0,2,4,5
0,1,4,6
0,2,3,5
0,2,4,5
0,2,3,5
0,1,4,6
0,2,4,5
0,2,4,5
0,1,4,6
0,1,4,6
0,2,3,5
0,2,4,6
0,2,3,5
0,1,4,5
0,1,4,5
0,1,3,6
0,2,4,5
0,2,3,6
0,2,4,5
0,2,4,6
0,1,3,6
0,1,4,5
0,2,3,6
0,1,3,5
0,2,4,5
0,1,4,5
0,2,3,5
0,2,3,5
0,2,3,5
0,1,4,6
0,1,4,5
0,2,3,6
0,2,3,6
0,1,4,5
0,2,4,6
0,2,3,6
0,2,4,5
0,1,3,6
0,1,4,6
0,2,3,6
0,2,3,6
0,1,4,5
0,2,3,5
0,1,4,6
0,2,4,5
0,2,4,5
0,1,4,5
0,1,3,6
0,1,3,5
0,1,4,5
0,2,3,5
0,2,4,6
0,1,4,5
0,1,3,5
0,1,4,6
0,2,4,6
0,1,3,5
0,2,3,6
0,1,4,5
0,2,4,6
0,1,4,6
0,2,4,5
0,1,3,6
0,1,4,5
0,1,3,6
0,2,4,5
0,2,3,6
0,1,4,6
0,2,4,6
0,2,3,6
0,1,4,6
0,2,3,5
0,2,3,5
0,2,3,6
0,2,4,6
0,2,4,6
0,1,3,6
0,2,3,6
0,1,3,5
0,2,3,5
0,2,3,6
0,1,4,5
0,2,4,6
0,1,3,6
0,2,4,5
0,1,3,6
0,2,3,5
0,1,3,5
0,1,4,6
0,2,3,6
0,1,3,5
0,2,3,5
0,2,3,6
0,2,3,5
0,1,3,6
0,1,3,5
0,1,3,6
0,2,4,6
0,1,4,6
0,1,3,5
0,2,4,6
0,1,4,6
0,1,3,6
0,1,3,6
0,1,3,6
0,2,4,6
0,1,3,5
0,2,4,5
0,1,4,5
0,1,3,5
0,1,4,5
0,2,3,5
0,2,4,6
0,1,3,6
0,2,3,5
0,2,3,5
0,1,3,6
0,2,4,6
0,1,3,5
