n,m,n1,n2,n3,n4,a1,a2,a3,a4
3,2,3,7,15,31,2,3,7,1
3,2,3,7,15,31,2,3,7,1
3,2,3,7,15,31,2,3,7,1
3,3,3,10,31,94,3,3,10,1
4,3,4,13,40,121,3,4,13,1
4,3,4,13,40,121,3,4,13,1
3,3,3,10,31,94,3,3,10,1
4,3,4,13,40,121,3,4,13,1
2,3,2,7,22,67,3,2,7,1
4,2,4,9,19,39,2,4,9,1
3,3,3,10,31,94,3,3,10,1
2,2,2,5,11,23,2,2,5,1
4,2,4,9,19,39,2,4,9,1
4,2,4,9,19,39,2,4,9,1
2,2,2,5,11,23,2,2,5,1
2,2,2,5,11,23,2,2,5,1
3,3,3,10,31,94,3,3,10,1
2,3,2,7,22,67,3,2,7,1
3,2,3,7,15,31,2,3,7,1
3,2,3,7,15,31,2,3,7,1
3,2,3,7,15,31,2,3,7,1
3,3,3,10,31,94,3,3,10,1
4,3,4,13,40,121,3,4,13,1
4,2,4,9,19,39,2,4,9,1
3,2,3,7,15,31,2,3,7,1
3,3,3,10,31,94,3,3,10,1
3,2,3,7,15,31,2,3,7,1
2,2,2,5,11,23,2,2,5,1
3,2,3,7,15,31,2,3,7,1
4,2,4,9,19,39,2,4,9,1
4,2,4,9,19,39,2,4,9,1
2,2,2,5,11,23,2,2,5,1
2,3,2,7,22,67,3,2,7,1
3,2,3,7,15,31,2,3,7,1
3,2,3,7,15,31,2,3,7,1
4,2,4,9,19,39,2,4,9,1
4,2,4,9,19,39,2,4,9,1
2,3,2,7,22,67,3,2,7,1
3,2,3,7,15,31,2,3,7,1
3,2,3,7,15,31,2,3,7,1
4,3,4,13,40,121,3,4,13,1
2,2,2,5,11,23,2,2,5,1
4,3,4,13,40,121,3,4,13,1
4,2,4,9,19,39,2,4,9,1
2,2,2,5,11,23,2,2,5,1
4,2,4,9,19,39,2,4,9,1
3,3,3,10,31,94,3,3,10,1
2,3,2,7,22,67,3,2,7,1
2,2,2,5,11,23,2,2,5,1
3,2,3,7,15,31,2,3,7,1
4,2,4,9,19,39,2,4,9,1
4,3,4,13,40,121,3,4,13,1
2,2,2,5,11,23,2,2,5,1
3,3,3,10,31,94,3,3,10,1
4,3,4,13,40,121,3,4,13,1
4,2,4,9,19,39,2,4,9,1
4,3,4,13,40,121,3,4,13,1
2,2,2,5,11,23,2,2,5,1
3,3,3,10,31,94,3,3,10,1
2,3,2,7,22,67,3,2,7,1
