n,m,p,a1,a2,a3,a4
3,7,21,7,8,3,2
5,1,,5,6,7,4
9,4,,36,37,38,35
9,4,,36,37,38,35
4,6,,24,25,26,23
9,5,,45,46,47,44
8,3,,24,25,26,23
6,2,,12,13,14,11
1,5,,5,6,7,4
4,5,,20,21,22,19
2,9,,18,19,20,17
1,6,,6,7,8,5
3,6,,18,19,20,17
3,4,,12,13,14,11
7,9,,63,64,65,62
6,4,,24,25,26,23
9,8,,72,73,74,71
1,9,,9,10,11,8
8,1,,8,9,10,7
9,8,,72,73,74,71
2,8,,16,17,18,15
3,7,,21,22,23,20
8,9,,72,73,74,71
7,3,,21,22,23,20
7,6,,42,43,44,41
2,2,,4,5,6,3
8,5,,40,41,42,39
2,2,,4,5,6,3
4,8,,32,33,34,31
9,9,,81,82,83,80
2,5,,10,11,12,9
1,8,,8,9,10,7
5,5,,25,26,27,24
8,1,,8,9,10,7
9,4,,36,37,38,35
8,5,,40,41,42,39
2,7,,14,15,16,13
5,3,,15,16,17,14
7,6,,42,43,44,41
3,3,,9,10,11,8
4,1,,4,5,6,3
2,4,,8,9,10,7
1,2,,2,3,4,1
4,5,,20,21,22,19
1,5,,5,6,7,4
1,4,,4,5,6,3
2,8,,16,17,18,15
3,3,,9,10,11,8
7,6,,42,43,44,41
4,3,,12,13,14,11
3,6,,18,19,20,17
7,3,,21,22,23,20
1,7,,7,8,9,6
8,8,,64,65,66,63
5,7,,35,36,37,34
4,1,,4,5,6,3
8,1,,8,9,10,7
2,8,,16,17,18,15
3,3,,9,10,11,8
5,6,,30,31,32,29
9,5,,45,46,47,44
9,1,,9,10,11,8
1,7,,7,8,9,6
1,9,,9,10,11,8
4,4,,16,17,18,15
7,3,,21,22,23,20
8,2,,16,17,18,15
5,5,,25,26,27,24
7,6,,42,43,44,41
5,7,,35,36,37,34
6,4,,24,25,26,23
3,5,,15,16,17,14
8,4,,32,33,34,31
2,5,,10,11,12,9
8,4,,32,33,34,31
2,7,,14,15,16,13
4,5,,20,21,22,19
3,6,,18,19,20,17
2,8,,16,17,18,15
1,3,,3,4,5,2
7,3,,21,22,23,20
7,6,,42,43,44,41
2,8,,16,17,18,15
1,1,,1,2,3,0
6,3,,18,19,20,17
