a1,n1,n2,n,a2,a3,a4
70,1,One  ,Seventy  ,28,65,53
5133,2,Two  ,Five thousand  one hundred thirty-three  ,3352,1890,3562
9559,3,Three  ,Nine thousand  five hundred fifty-nine  ,292,2641,8306
7845,4,Four  ,Seven thousand  eight hundred forty-five  ,2240,3648,6339
625,5,Five  ,Six hundred twenty-five  ,463,95,293
887,6,Six  ,Eight hundred eighty-seven  ,82,364,309
8509,7,Seven  ,Eight thousand  five hundred nine  ,1946,1987,6473
6547,8,Eight  ,Six thousand  five hundred forty-seven  ,5213,6374,6010
7926,9,Nine  ,Seven thousand  nine hundred twenty-six  ,6890,3229,3654
3268,10,Ten  ,Three thousand  two hundred sixty-eight  ,1141,2352,561
2160,11,Eleven  ,Two thousand  one hundred sixty  ,1582,1272,206
8739,12,Twelve  ,Eight thousand  seven hundred thirty-nine  ,1599,6794,4505
5075,13,Thirteen  ,Five thousand  seventy-five  ,3066,3682,1503
727,14,Fourteen  ,Seven hundred twenty-seven  ,195,119,599
800,15,Fifteen  ,Eight hundred  ,558,528,569
9161,16,Sixteen  ,Nine thousand  one hundred sixty one  ,2577,3833,3146
7885,17,Seventeen  ,Seven thousand  eight hundred eighty-five  ,872,253,7187
454,18,Eighteen  ,Four hundred fifty-four  ,420,99,379
5623,19,Nineteen  ,Five thousand  six hundred twenty-three  ,5199,2923,3662
1840,20,Twenty  ,One thousand  eight hundred forty  ,718,840,541
9608,21,Twenty one  ,Nine thousand  six hundred eight  ,3685,6375,858
8964,22,Twenty-two  ,Eight thousand  nine hundred sixty-four  ,4908,2268,4549
5451,23,Twenty-three  ,Five thousand  four hundred fifty one  ,105,4048,2457
8882,24,Twenty-four  ,Eight thousand  eight hundred eighty-two  ,4611,8332,8779
1574,25,Twenty-five  ,One thousand  five hundred seventy-four  ,260,559,140
1642,26,Twenty-six  ,One thousand  six hundred forty-two  ,308,278,1633
6317,27,Twenty-seven  ,Six thousand  three hundred seventeen  ,4771,4487,2684
5656,28,Twenty-eight  ,Five thousand  six hundred fifty-six  ,2765,2466,4973
9837,29,Twenty-nine  ,Nine thousand  eight hundred thirty-seven  ,1231,8740,516
6116,30,Thirty  ,Six thousand  one hundred sixteen  ,236,3159,2903
6497,31,Thirty one  ,Six thousand  four hundred ninety-seven  ,4724,4522,3966
6870,32,Thirty-two  ,Six thousand  eight hundred seventy  ,4514,6810,2468
8217,33,Thirty-three  ,Eight thousand  two hundred seventeen  ,5296,6555,7842
164,34,Thirty-four  ,One hundred sixty-four  ,84,53,133
6853,35,Thirty-five  ,Six thousand  eight hundred fifty-three  ,1694,6203,6341
4511,36,Thirty-six  ,Four thousand  five hundred eleven  ,1338,155,1811
9300,37,Thirty-seven  ,Nine thousand  three hundred  ,9229,5308,8472
4901,38,Thirty-eight  ,Four thousand  nine hundred one  ,1249,86,962
8029,39,Thirty-nine  ,Eight thousand  twenty-nine  ,3064,412,5355
7477,40,Forty  ,Seven thousand  four hundred seventy-seven  ,7274,618,2791
2630,41,Forty one  ,Two thousand  six hundred thirty  ,68,2623,2470
9144,42,Forty-two  ,Nine thousand  one hundred forty-four  ,7371,5142,8129
9212,43,Forty-three  ,Nine thousand  two hundred twelve  ,902,2008,4242
4303,44,Forty-four  ,Four thousand  three hundred three  ,2523,2383,1952
6271,45,Forty-five  ,Six thousand  two hundred seventy one  ,317,3165,293
4026,46,Forty-six  ,Four thousand  twenty-six  ,2106,3222,2473
4302,47,Forty-seven  ,Four thousand  three hundred two  ,3184,3163,181
2387,48,Forty-eight  ,Two thousand  three hundred eighty-seven  ,2381,1478,1824
8482,49,Forty-nine  ,Eight thousand  four hundred eighty-two  ,874,2153,2000
6892,50,Fifty  ,Six thousand  eight hundred ninety-two  ,4467,845,979
1119,51,Fifty one  ,One thousand  one hundred nineteen  ,309,1072,704
6759,52,Fifty-two  ,Six thousand  seven hundred fifty-nine  ,4413,5615,1167
759,53,Fifty-three  ,Seven hundred fifty-nine  ,364,673,456
