n,m,p,q,r,s,a1,a2,a3,a4
3,5,7,4,140,2450,2590,2594,2450,140
5,4,2,6,324,1080,1404,1410,1080,324
5,6,6,4,224,3360,3584,3588,3360,224
4,8,7,6,288,3360,3648,3654,3360,288
4,8,7,5,240,3360,3600,3605,3360,240
5,8,2,4,232,1160,1392,1396,1160,232
5,9,6,1,59,3540,3599,3600,3540,59
2,2,6,6,132,1320,1452,1458,1320,132
7,4,6,2,148,4440,4588,4590,4440,148
1,6,1,8,128,160,288,296,160,128
8,3,9,4,332,7470,7802,7806,7470,332
7,2,6,6,432,4320,4752,4758,4320,432
9,6,9,6,576,8640,9216,9222,8640,576
8,8,1,8,704,880,1584,1592,880,704
8,6,4,7,602,3440,4042,4049,3440,602
7,6,6,1,76,4560,4636,4637,4560,76
4,4,5,3,132,2200,2332,2335,2200,132
3,7,3,1,37,1110,1147,1148,1110,37
6,6,4,6,396,2640,3036,3042,2640,396
5,6,1,6,336,560,896,902,560,336
1,9,4,5,95,760,855,860,760,95
3,8,4,9,342,1520,1862,1871,1520,342
1,4,3,7,98,420,518,525,420,98
6,8,1,3,204,680,884,887,680,204
7,9,3,9,711,2370,3081,3090,2370,711
2,8,3,6,168,840,1008,1014,840,168
1,3,5,2,26,650,676,678,650,26
1,7,7,9,153,1190,1343,1352,1190,153
7,1,3,7,497,2130,2627,2634,2130,497
2,5,7,4,100,1750,1850,1854,1750,100
6,4,2,2,128,1280,1408,1410,1280,128
8,3,7,4,332,5810,6142,6146,5810,332
1,5,2,4,60,300,360,364,300,60
5,1,5,2,102,2550,2652,2654,2550,102
9,9,2,6,594,1980,2574,2580,1980,594
3,3,1,8,264,330,594,602,330,264
5,3,1,9,477,530,1007,1016,530,477
9,4,5,8,752,4700,5452,5460,4700,752
6,4,3,3,192,1920,2112,2115,1920,192
5,4,6,5,270,3240,3510,3515,3240,270
4,5,4,7,315,1800,2115,2122,1800,315
5,2,8,5,260,4160,4420,4425,4160,260
2,2,1,2,44,220,264,266,220,44
5,2,1,6,312,520,832,838,520,312
6,5,9,6,390,5850,6240,6246,5850,390
4,2,8,7,294,3360,3654,3661,3360,294
3,8,9,2,76,3420,3496,3498,3420,76
5,9,7,3,177,4130,4307,4310,4130,177
2,7,2,5,135,540,675,680,540,135
4,2,6,5,210,2520,2730,2735,2520,210
4,8,6,2,96,2880,2976,2978,2880,96
3,7,5,9,333,1850,2183,2192,1850,333
4,6,1,6,276,460,736,742,460,276
8,2,6,3,246,4920,5166,5169,4920,246
2,4,9,8,192,2160,2352,2360,2160,192
4,2,3,6,252,1260,1512,1518,1260,252
8,8,2,4,352,1760,2112,2116,1760,352
2,4,5,6,144,1200,1344,1350,1200,144
7,5,3,2,150,2250,2400,2402,2250,150
8,1,8,5,405,6480,6885,6890,6480,405
2,9,3,4,116,870,986,990,870,116
8,2,6,2,164,4920,5084,5086,4920,164
8,4,1,4,336,840,1176,1180,840,336
7,2,3,8,576,2160,2736,2744,2160,576
3,2,1,3,96,320,416,419,320,96
6,7,1,2,134,670,804,806,670,134
8,4,5,9,756,4200,4956,4965,4200,756
7,5,4,9,675,3000,3675,3684,3000,675
4,4,9,9,396,3960,4356,4365,3960,396
3,9,2,6,234,780,1014,1020,780,234
9,8,3,7,686,2940,3626,3633,2940,686
2,8,4,5,140,1120,1260,1265,1120,140
7,4,4,3,222,2960,3182,3185,2960,222
8,8,4,5,440,3520,3960,3965,3520,440
4,7,8,4,188,3760,3948,3952,3760,188
7,8,4,1,78,3120,3198,3199,3120,78
5,5,4,6,330,2200,2530,2536,2200,330
3,3,8,6,198,2640,2838,2844,2640,198
3,4,1,8,272,340,612,620,340,272
6,2,4,6,372,2480,2852,2858,2480,372
2,3,1,1,23,230,253,254,230,23
1,5,7,9,135,1050,1185,1194,1050,135
4,1,6,9,369,2460,2829,2838,2460,369
4,4,1,7,308,440,748,755,440,308
7,4,5,5,370,3700,4070,4075,3700,370
5,5,5,4,220,2750,2970,2974,2750,220
4,7,9,8,376,4230,4606,4614,4230,376
5,6,5,7,392,2800,3192,3199,2800,392
1,3,1,6,78,130,208,214,130,78
8,6,2,3,258,1720,1978,1981,1720,258
2,3,4,8,184,920,1104,1112,920,184
2,4,9,8,192,2160,2352,2360,2160,192
2,9,1,6,174,290,464,470,290,174
4,5,9,8,360,4050,4410,4418,4050,360
7,9,8,7,553,6320,6873,6880,6320,553
6,3,2,9,567,1260,1827,1836,1260,567
2,8,2,6,168,560,728,734,560,168
2,7,7,6,162,1890,2052,2058,1890,162
9,9,6,3,297,5940,6237,6240,5940,297
2,6,4,4,104,1040,1144,1148,1040,104
3,2,3,2,64,960,1024,1026,960,64
2,9,4,8,232,1160,1392,1400,1160,232
7,8,5,8,624,3900,4524,4532,3900,624
4,5,4,9,405,1800,2205,2214,1800,405
1,4,3,8,112,420,532,540,420,112
9,9,5,2,198,4950,5148,5150,4950,198
4,2,6,9,378,2520,2898,2907,2520,378
1,7,2,5,85,340,425,430,340,85
1,1,2,2,22,220,242,244,220,22
6,6,6,8,528,3960,4488,4496,3960,528
9,9,8,9,891,7920,8811,8820,7920,891
9,3,2,6,558,1860,2418,2424,1860,558
9,1,1,9,819,910,1729,1738,910,819
5,8,7,5,290,4060,4350,4355,4060,290
8,5,7,4,340,5950,6290,6294,5950,340
6,7,8,3,201,5360,5561,5564,5360,201
7,6,8,1,76,6080,6156,6157,6080,76
1,3,5,6,78,650,728,734,650,78
4,5,9,7,315,4050,4365,4372,4050,315
2,6,9,4,104,2340,2444,2448,2340,104
9,3,1,4,372,930,1302,1306,930,372
4,9,7,2,98,3430,3528,3530,3430,98
7,5,5,1,75,3750,3825,3826,3750,75
7,9,4,2,158,3160,3318,3320,3160,158
9,2,5,9,828,4600,5428,5437,4600,828
7,6,2,9,684,1520,2204,2213,1520,684
7,3,7,7,511,5110,5621,5628,5110,511
2,3,1,9,207,230,437,446,230,207
