n,m,a1,a2,a3,a4
1,6,6,16,7,11
4,6,24,34,10,29
3,9,27,37,12,32
3,6,18,28,9,23
3,8,24,34,11,29
4,5,20,30,9,25
3,5,15,25,8,20
1,7,7,17,8,12
1,6,6,16,7,11
1,6,6,16,7,11
3,8,24,34,11,29
4,6,24,34,10,29
3,7,21,31,10,26
1,8,8,18,9,13
2,9,18,28,11,23
4,5,20,30,9,25
4,9,36,46,13,41
2,9,18,28,11,23
2,9,18,28,11,23
4,5,20,30,9,25
4,7,28,38,11,33
1,9,9,19,10,14
4,7,28,38,11,33
1,9,9,19,10,14
3,9,27,37,12,32
4,7,28,38,11,33
3,6,18,28,9,23
3,5,15,25,8,20
3,9,27,37,12,32
4,6,24,34,10,29
4,9,36,46,13,41
1,5,5,15,6,10
3,8,24,34,11,29
2,8,16,26,10,21
1,9,9,19,10,14
2,5,10,20,7,15
1,7,7,17,8,12
2,7,14,24,9,19
4,9,36,46,13,41
4,8,32,42,12,37
3,6,18,28,9,23
3,7,21,31,10,26
2,6,12,22,8,17
4,5,20,30,9,25
1,9,9,19,10,14
2,8,16,26,10,21
1,6,6,16,7,11
2,5,10,20,7,15
3,6,18,28,9,23
2,6,12,22,8,17
1,6,6,16,7,11
4,7,28,38,11,33
1,7,7,17,8,12
3,8,24,34,11,29
4,8,32,42,12,37
1,7,7,17,8,12
3,8,24,34,11,29
3,7,21,31,10,26
3,6,18,28,9,23
4,8,32,42,12,37
2,8,16,26,10,21
3,9,27,37,12,32
4,7,28,38,11,33
3,6,18,28,9,23
1,8,8,18,9,13
3,6,18,28,9,23
3,7,21,31,10,26
3,8,24,34,11,29
1,7,7,17,8,12
3,8,24,34,11,29
3,6,18,28,9,23
1,7,7,17,8,12
2,8,16,26,10,21
1,5,5,15,6,10
3,9,27,37,12,32
4,8,32,42,12,37
1,9,9,19,10,14
4,8,32,42,12,37
4,5,20,30,9,25
3,8,24,34,11,29
4,5,20,30,9,25
3,6,18,28,9,23
4,8,32,42,12,37
2,5,10,20,7,15
3,9,27,37,12,32
1,7,7,17,8,12
2,5,10,20,7,15
4,8,32,42,12,37
3,8,24,34,11,29
1,7,7,17,8,12
2,9,18,28,11,23
2,9,18,28,11,23
3,6,18,28,9,23
1,7,7,17,8,12
1,8,8,18,9,13
4,9,36,46,13,41
4,5,20,30,9,25
4,7,28,38,11,33
2,7,14,24,9,19
3,6,18,28,9,23
1,7,7,17,8,12
1,9,9,19,10,14
1,7,7,17,8,12
1,9,9,19,10,14
2,7,14,24,9,19
4,7,28,38,11,33
3,8,24,34,11,29
2,9,18,28,11,23
4,6,24,34,10,29
2,7,14,24,9,19
1,9,9,19,10,14
3,6,18,28,9,23
4,8,32,42,12,37
2,8,16,26,10,21
1,6,6,16,7,11
1,8,8,18,9,13
1,9,9,19,10,14
3,8,24,34,11,29
4,6,24,34,10,29
3,6,18,28,9,23
2,5,10,20,7,15
4,5,20,30,9,25
2,6,12,22,8,17
3,6,18,28,9,23
2,5,10,20,7,15
4,7,28,38,11,33
4,9,36,46,13,41
1,5,5,15,6,10
4,6,24,34,10,29
2,9,18,28,11,23
2,5,10,20,7,15
1,9,9,19,10,14
2,6,12,22,8,17
1,7,7,17,8,12
1,6,6,16,7,11
1,5,5,15,6,10
2,5,10,20,7,15
4,6,24,34,10,29
3,9,27,37,12,32
2,7,14,24,9,19
4,8,32,42,12,37
3,7,21,31,10,26
2,5,10,20,7,15
1,9,9,19,10,14
2,7,14,24,9,19
2,6,12,22,8,17
1,8,8,18,9,13
2,7,14,24,9,19
2,9,18,28,11,23
2,6,12,22,8,17
2,5,10,20,7,15
4,8,32,42,12,37
1,8,8,18,9,13
4,5,20,30,9,25
1,6,6,16,7,11
1,5,5,15,6,10
4,5,20,30,9,25
1,9,9,19,10,14
1,5,5,15,6,10
1,6,6,16,7,11
4,7,28,38,11,33
1,5,5,15,6,10
4,9,36,46,13,41
4,6,24,34,10,29
1,5,5,15,6,10
1,6,6,16,7,11
3,7,21,31,10,26
4,8,32,42,12,37
1,8,8,18,9,13
1,7,7,17,8,12
2,8,16,26,10,21
2,5,10,20,7,15
1,6,6,16,7,11
4,8,32,42,12,37
2,8,16,26,10,21
3,6,18,28,9,23
3,9,27,37,12,32
4,6,24,34,10,29
2,9,18,28,11,23
1,8,8,18,9,13
3,8,24,34,11,29
4,5,20,30,9,25
1,8,8,18,9,13
1,5,5,15,6,10
2,9,18,28,11,23
4,7,28,38,11,33
3,9,27,37,12,32
3,8,24,34,11,29
2,9,18,28,11,23
1,8,8,18,9,13
1,7,7,17,8,12
3,5,15,25,8,20
3,9,27,37,12,32
1,7,7,17,8,12
1,7,7,17,8,12
3,5,15,25,8,20
2,5,10,20,7,15
4,9,36,46,13,41
2,8,16,26,10,21
2,5,10,20,7,15
3,9,27,37,12,32
4,7,28,38,11,33
1,8,8,18,9,13
1,5,5,15,6,10
3,5,15,25,8,20
4,6,24,34,10,29
1,5,5,15,6,10
1,7,7,17,8,12
3,7,21,31,10,26
1,9,9,19,10,14
1,5,5,15,6,10
2,6,12,22,8,17
2,5,10,20,7,15
2,5,10,20,7,15
3,8,24,34,11,29
1,5,5,15,6,10
4,8,32,42,12,37
3,6,18,28,9,23
1,9,9,19,10,14
2,8,16,26,10,21
2,8,16,26,10,21
4,9,36,46,13,41
2,5,10,20,7,15
3,8,24,34,11,29
2,8,16,26,10,21
3,9,27,37,12,32
3,9,27,37,12,32
4,5,20,30,9,25
4,9,36,46,13,41
3,7,21,31,10,26
1,8,8,18,9,13
4,5,20,30,9,25
3,6,18,28,9,23
3,9,27,37,12,32
4,8,32,42,12,37
2,8,16,26,10,21
3,7,21,31,10,26
2,7,14,24,9,19
2,8,16,26,10,21
1,8,8,18,9,13
1,9,9,19,10,14
1,5,5,15,6,10
4,9,36,46,13,41
3,8,24,34,11,29
4,8,32,42,12,37
2,8,16,26,10,21
1,9,9,19,10,14
2,7,14,24,9,19
1,7,7,17,8,12
1,7,7,17,8,12
3,8,24,34,11,29
2,7,14,24,9,19
1,7,7,17,8,12
2,9,18,28,11,23
4,8,32,42,12,37
4,6,24,34,10,29
3,8,24,34,11,29
1,5,5,15,6,10
1,7,7,17,8,12
3,5,15,25,8,20
3,8,24,34,11,29
2,5,10,20,7,15
4,8,32,42,12,37
4,6,24,34,10,29
3,8,24,34,11,29
2,8,16,26,10,21
4,9,36,46,13,41
3,8,24,34,11,29
1,6,6,16,7,11
1,9,9,19,10,14
2,6,12,22,8,17
2,9,18,28,11,23
2,8,16,26,10,21
4,5,20,30,9,25
4,9,36,46,13,41
2,8,16,26,10,21
4,9,36,46,13,41
4,5,20,30,9,25
4,7,28,38,11,33
4,9,36,46,13,41
3,8,24,34,11,29
2,9,18,28,11,23
2,5,10,20,7,15
2,7,14,24,9,19
4,5,20,30,9,25
2,6,12,22,8,17
2,8,16,26,10,21
3,7,21,31,10,26
2,6,12,22,8,17
2,9,18,28,11,23
3,6,18,28,9,23
4,6,24,34,10,29
4,5,20,30,9,25
2,5,10,20,7,15
4,5,20,30,9,25
1,7,7,17,8,12
2,6,12,22,8,17
3,5,15,25,8,20
1,7,7,17,8,12
4,6,24,34,10,29
3,7,21,31,10,26
2,9,18,28,11,23
1,7,7,17,8,12
2,5,10,20,7,15
3,8,24,34,11,29
1,7,7,17,8,12
3,5,15,25,8,20
2,7,14,24,9,19
1,6,6,16,7,11
1,5,5,15,6,10
4,9,36,46,13,41
2,7,14,24,9,19
4,5,20,30,9,25
4,7,28,38,11,33
4,8,32,42,12,37
1,5,5,15,6,10
1,5,5,15,6,10
4,9,36,46,13,41
3,7,21,31,10,26
4,9,36,46,13,41
3,5,15,25,8,20
1,9,9,19,10,14
3,7,21,31,10,26
2,7,14,24,9,19
4,8,32,42,12,37
2,8,16,26,10,21
4,8,32,42,12,37
4,5,20,30,9,25
4,5,20,30,9,25
4,5,20,30,9,25
1,7,7,17,8,12
3,6,18,28,9,23
1,7,7,17,8,12
2,8,16,26,10,21
2,6,12,22,8,17
2,5,10,20,7,15
3,8,24,34,11,29
4,6,24,34,10,29
1,9,9,19,10,14
1,8,8,18,9,13
4,9,36,46,13,41
1,6,6,16,7,11
3,8,24,34,11,29
2,6,12,22,8,17
4,6,24,34,10,29
1,8,8,18,9,13
2,8,16,26,10,21
3,5,15,25,8,20
1,7,7,17,8,12
4,5,20,30,9,25
2,8,16,26,10,21
2,8,16,26,10,21
2,6,12,22,8,17
3,8,24,34,11,29
3,7,21,31,10,26
1,9,9,19,10,14
4,9,36,46,13,41
4,6,24,34,10,29
2,5,10,20,7,15
4,5,20,30,9,25
4,7,28,38,11,33
2,8,16,26,10,21
3,6,18,28,9,23
3,5,15,25,8,20
4,6,24,34,10,29
2,6,12,22,8,17
4,7,28,38,11,33
4,9,36,46,13,41
3,8,24,34,11,29
3,7,21,31,10,26
3,9,27,37,12,32
3,8,24,34,11,29
2,8,16,26,10,21
1,5,5,15,6,10
1,7,7,17,8,12
3,8,24,34,11,29
4,5,20,30,9,25
1,8,8,18,9,13
1,5,5,15,6,10
1,9,9,19,10,14
1,6,6,16,7,11
1,5,5,15,6,10
3,6,18,28,9,23
4,5,20,30,9,25
1,7,7,17,8,12
2,9,18,28,11,23
3,5,15,25,8,20
3,9,27,37,12,32
3,5,15,25,8,20
2,8,16,26,10,21
4,6,24,34,10,29
2,8,16,26,10,21
4,7,28,38,11,33
1,7,7,17,8,12
2,9,18,28,11,23
3,7,21,31,10,26
1,9,9,19,10,14
3,6,18,28,9,23
1,8,8,18,9,13
2,5,10,20,7,15
3,7,21,31,10,26
3,8,24,34,11,29
2,5,10,20,7,15
4,6,24,34,10,29
2,9,18,28,11,23
4,9,36,46,13,41
1,5,5,15,6,10
2,9,18,28,11,23
1,8,8,18,9,13
2,5,10,20,7,15
4,7,28,38,11,33
4,8,32,42,12,37
4,8,32,42,12,37
4,5,20,30,9,25
3,6,18,28,9,23
2,6,12,22,8,17
2,6,12,22,8,17
3,9,27,37,12,32
1,5,5,15,6,10
2,5,10,20,7,15
3,9,27,37,12,32
4,9,36,46,13,41
2,9,18,28,11,23
4,9,36,46,13,41
2,7,14,24,9,19
1,7,7,17,8,12
1,8,8,18,9,13
2,8,16,26,10,21
1,9,9,19,10,14
4,5,20,30,9,25
1,8,8,18,9,13
2,8,16,26,10,21
3,9,27,37,12,32
3,6,18,28,9,23
2,5,10,20,7,15
2,9,18,28,11,23
1,7,7,17,8,12
2,8,16,26,10,21
2,8,16,26,10,21
1,6,6,16,7,11
3,8,24,34,11,29
3,9,27,37,12,32
3,6,18,28,9,23
1,7,7,17,8,12
4,9,36,46,13,41
3,9,27,37,12,32
3,7,21,31,10,26
2,6,12,22,8,17
3,9,27,37,12,32
1,5,5,15,6,10
3,7,21,31,10,26
2,6,12,22,8,17
1,8,8,18,9,13
2,8,16,26,10,21
2,6,12,22,8,17
3,7,21,31,10,26
4,8,32,42,12,37
4,7,28,38,11,33
4,6,24,34,10,29
1,7,7,17,8,12
3,6,18,28,9,23
4,7,28,38,11,33
2,8,16,26,10,21
1,5,5,15,6,10
1,5,5,15,6,10
2,5,10,20,7,15
2,6,12,22,8,17
3,6,18,28,9,23
2,8,16,26,10,21
3,7,21,31,10,26
1,5,5,15,6,10
3,5,15,25,8,20
3,9,27,37,12,32
2,6,12,22,8,17
4,9,36,46,13,41
2,5,10,20,7,15
3,9,27,37,12,32
4,5,20,30,9,25
3,5,15,25,8,20
4,5,20,30,9,25
2,8,16,26,10,21
3,7,21,31,10,26
1,7,7,17,8,12
4,6,24,34,10,29
2,8,16,26,10,21
1,8,8,18,9,13
1,7,7,17,8,12
3,5,15,25,8,20
1,7,7,17,8,12
3,7,21,31,10,26
2,8,16,26,10,21
4,8,32,42,12,37
2,8,16,26,10,21
1,7,7,17,8,12
1,6,6,16,7,11
1,9,9,19,10,14
2,8,16,26,10,21
1,6,6,16,7,11
4,7,28,38,11,33
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
