n,a1,a2,a3,a4
72,70,80,60,90
8,10,20,0,30
60,60,70,50,80
94,90,100,80,110
88,90,100,80,110
83,80,90,70,100
53,50,60,40,70
56,60,70,50,80
93,90,100,80,110
80,80,90,70,100
50,50,60,40,70
75,80,90,70,100
31,30,40,20,50
31,30,40,20,50
68,70,80,60,90
97,100,110,90,120
28,30,40,20,50
23,20,30,10,40
81,80,90,70,100
88,90,100,80,110
16,20,30,10,40
92,90,100,80,110
41,40,50,30,60
76,80,90,70,100
3,0,10,-10,20
56,60,70,50,80
41,40,50,30,60
78,80,90,70,100
5,10,20,0,30
60,60,70,50,80
99,100,110,90,120
37,40,50,30,60
90,90,100,80,110
62,60,70,50,80
61,60,70,50,80
76,80,90,70,100
81,80,90,70,100
17,20,30,10,40
2,0,10,-10,20
25,30,40,20,50
65,70,80,60,90
54,50,60,40,70
93,90,100,80,110
40,40,50,30,60
34,30,40,20,50
95,100,110,90,120
23,20,30,10,40
71,70,80,60,90
49,50,60,40,70
95,100,110,90,120
31,30,40,20,50
79,80,90,70,100
70,70,80,60,90
50,50,60,40,70
44,40,50,30,60
8,10,20,0,30
17,20,30,10,40
67,70,80,60,90
11,10,20,0,30
88,90,100,80,110
5,10,20,0,30
66,70,80,60,90
19,20,30,10,40
86,90,100,80,110
24,20,30,10,40
50,50,60,40,70
55,60,70,50,80
23,20,30,10,40
23,20,30,10,40
46,50,60,40,70
41,40,50,30,60
25,30,40,20,50
71,70,80,60,90
35,40,50,30,60
14,10,20,0,30
96,100,110,90,120
91,90,100,80,110
52,50,60,40,70
83,80,90,70,100
4,0,10,-10,20
8,10,20,0,30
67,70,80,60,90
91,90,100,80,110
27,30,40,20,50
35,40,50,30,60
21,20,30,10,40
46,50,60,40,70
48,50,60,40,70
31,30,40,20,50
87,90,100,80,110
59,60,70,50,80
9,10,20,0,30
49,50,60,40,70
10,10,20,0,30
16,20,30,10,40
18,20,30,10,40
96,100,110,90,120
57,60,70,50,80
12,10,20,0,30
78,80,90,70,100
39,40,50,30,60
55,60,70,50,80
76,80,90,70,100
81,80,90,70,100
90,90,100,80,110
12,10,20,0,30
96,100,110,90,120
15,20,30,10,40
67,70,80,60,90
74,70,80,60,90
6,10,20,0,30
7,10,20,0,30
40,40,50,30,60
19,20,30,10,40
67,70,80,60,90
75,80,90,70,100
60,60,70,50,80
39,40,50,30,60
13,10,20,0,30
32,30,40,20,50
71,70,80,60,90
32,30,40,20,50
31,30,40,20,50
78,80,90,70,100
14,10,20,0,30
24,20,30,10,40
25,30,40,20,50
46,50,60,40,70
35,40,50,30,60
79,80,90,70,100
91,90,100,80,110
85,90,100,80,110
37,40,50,30,60
64,60,70,50,80
14,10,20,0,30
35,40,50,30,60
70,70,80,60,90
50,50,60,40,70
90,90,100,80,110
98,100,110,90,120
17,20,30,10,40
1,0,10,-10,20
73,70,80,60,90
15,20,30,10,40
55,60,70,50,80
96,100,110,90,120
42,40,50,30,60
26,30,40,20,50
58,60,70,50,80
24,20,30,10,40
71,70,80,60,90
87,90,100,80,110
9,10,20,0,30
77,80,90,70,100
50,50,60,40,70
23,20,30,10,40
62,60,70,50,80
49,50,60,40,70
55,60,70,50,80
49,50,60,40,70
17,20,30,10,40
97,100,110,90,120
58,60,70,50,80
68,70,80,60,90
57,60,70,50,80
38,40,50,30,60
40,40,50,30,60
42,40,50,30,60
41,40,50,30,60
70,70,80,60,90
28,30,40,20,50
67,70,80,60,90
26,30,40,20,50
17,20,30,10,40
78,80,90,70,100
34,30,40,20,50
66,70,80,60,90
58,60,70,50,80
4,0,10,-10,20
76,80,90,70,100
31,30,40,20,50
36,40,50,30,60
39,40,50,30,60
23,20,30,10,40
58,60,70,50,80
15,20,30,10,40
87,90,100,80,110
28,30,40,20,50
15,20,30,10,40
20,20,30,10,40
9,10,20,0,30
78,80,90,70,100
39,40,50,30,60
79,80,90,70,100
74,70,80,60,90
84,80,90,70,100
36,40,50,30,60
25,30,40,20,50
52,50,60,40,70
29,30,40,20,50
20,20,30,10,40
61,60,70,50,80
53,50,60,40,70
54,50,60,40,70
93,90,100,80,110
5,10,20,0,30
60,60,70,50,80
64,60,70,50,80
66,70,80,60,90
85,90,100,80,110
12,10,20,0,30
88,90,100,80,110
35,40,50,30,60
44,40,50,30,60
35,40,50,30,60
88,90,100,80,110
21,20,30,10,40
57,60,70,50,80
5,10,20,0,30
77,80,90,70,100
47,50,60,40,70
37,40,50,30,60
8,10,20,0,30
41,40,50,30,60
24,20,30,10,40
35,40,50,30,60
34,30,40,20,50
20,20,30,10,40
24,20,30,10,40
31,30,40,20,50
97,100,110,90,120
62,60,70,50,80
37,40,50,30,60
94,90,100,80,110
87,90,100,80,110
80,80,90,70,100
93,90,100,80,110
21,20,30,10,40
83,80,90,70,100
80,80,90,70,100
72,70,80,60,90
96,100,110,90,120
74,70,80,60,90
37,40,50,30,60
67,70,80,60,90
78,80,90,70,100
91,90,100,80,110
91,90,100,80,110
25,30,40,20,50
91,90,100,80,110
17,20,30,10,40
72,70,80,60,90
29,30,40,20,50
78,80,90,70,100
51,50,60,40,70
39,40,50,30,60
80,80,90,70,100
51,50,60,40,70
8,10,20,0,30
90,90,100,80,110
73,70,80,60,90
53,50,60,40,70
6,10,20,0,30
6,10,20,0,30
11,10,20,0,30
94,90,100,80,110
44,40,50,30,60
9,10,20,0,30
42,40,50,30,60
65,70,80,60,90
40,40,50,30,60
89,90,100,80,110
59,60,70,50,80
15,20,30,10,40
12,10,20,0,30
22,20,30,10,40
14,10,20,0,30
95,100,110,90,120
90,90,100,80,110
65,70,80,60,90
52,50,60,40,70
67,70,80,60,90
81,80,90,70,100
99,100,110,90,120
92,90,100,80,110
81,80,90,70,100
24,20,30,10,40
33,30,40,20,50
52,50,60,40,70
38,40,50,30,60
12,10,20,0,30
67,70,80,60,90
55,60,70,50,80
53,50,60,40,70
20,20,30,10,40
49,50,60,40,70
81,80,90,70,100
72,70,80,60,90
19,20,30,10,40
36,40,50,30,60
16,20,30,10,40
61,60,70,50,80
96,100,110,90,120
57,60,70,50,80
64,60,70,50,80
1,0,10,-10,20
