n,m,p,a1,a2,a3,a4
14,2,60,840,900,780,74
34,2,60,2040,2100,1980,94
52,1,30,1560,1590,1530,82
44,3,90,3960,4050,3870,134
55,1,30,1650,1680,1620,85
60,1,30,1800,1830,1770,90
99,2,60,5940,6000,5880,159
24,2,60,1440,1500,1380,84
13,1,30,390,420,360,43
36,1,30,1080,1110,1050,66
67,2,60,4020,4080,3960,127
79,2,60,4740,4800,4680,139
37,3,90,3330,3420,3240,127
85,1,30,2550,2580,2520,115
45,3,90,4050,4140,3960,135
16,2,60,960,1020,900,76
38,1,30,1140,1170,1110,68
92,3,90,8280,8370,8190,182
11,2,60,660,720,600,71
27,2,60,1620,1680,1560,87
72,1,30,2160,2190,2130,102
74,3,90,6660,6750,6570,164
20,1,30,600,630,570,50
63,1,30,1890,1920,1860,93
17,2,60,1020,1080,960,77
57,1,30,1710,1740,1680,87
31,2,60,1860,1920,1800,91
20,2,60,1200,1260,1140,80
61,2,60,3660,3720,3600,121
22,2,60,1320,1380,1260,82
79,3,90,7110,7200,7020,169
93,1,30,2790,2820,2760,123
88,2,60,5280,5340,5220,148
62,2,60,3720,3780,3660,122
31,1,30,930,960,900,61
81,3,90,7290,7380,7200,171
61,2,60,3660,3720,3600,121
31,2,60,1860,1920,1800,91
78,2,60,4680,4740,4620,138
57,3,90,5130,5220,5040,147
42,3,90,3780,3870,3690,132
25,1,30,750,780,720,55
68,3,90,6120,6210,6030,158
98,3,90,8820,8910,8730,188
24,1,30,720,750,690,54
57,1,30,1710,1740,1680,87
95,3,90,8550,8640,8460,185
50,1,30,1500,1530,1470,80
43,1,30,1290,1320,1260,73
17,2,60,1020,1080,960,77
94,3,90,8460,8550,8370,184
53,2,60,3180,3240,3120,113
47,2,60,2820,2880,2760,107
24,1,30,720,750,690,54
94,1,30,2820,2850,2790,124
35,1,30,1050,1080,1020,65
13,3,90,1170,1260,1080,103
49,2,60,2940,3000,2880,109
74,1,30,2220,2250,2190,104
81,1,30,2430,2460,2400,111
44,3,90,3960,4050,3870,134
99,2,60,5940,6000,5880,159
25,3,90,2250,2340,2160,115
90,1,30,2700,2730,2670,120
11,1,30,330,360,300,41
28,1,30,840,870,810,58
58,2,60,3480,3540,3420,118
99,3,90,8910,9000,8820,189
